real main.elast_coeff[2,11](af) = [
0.01,         
0,            0,            0,            -0.0034,      0,            -0.013,       -0.1844,      -0.4971,      0,            0,            0,            
0,            0,            0,            0.6998,       0,            1.0791,       34.72,        52.021,       0,            0,            0,            

0.1,          
0,            0,            0,            -0.0355,      0,            -0.1081,      -2.0347,      -2.6838,      0,            0,            0,            
0,            0,            0,            0.7128,       0,            1.1245,       35.559,       53.049,       0,            0,            0,            

0.2,          
0,            0,            0,            -0.0482,      0,            -0.1805,      -2.1234,      -2.7735,      0,            0,            0,            
0,            0,            0,            0.7293,       0,            1.1858,       36.791,       54.674,       0,            0,            0,            

0.3,          
0,            0,            0,            -0.0529,      0,            -0.2279,      -1.4973,      -2.2367,      0,            0,            0,            
0,            0,            0,            0.7465,       0,            1.2186,       38.103,       56.13,        0,            0,            0,            

0.4,          
0,            0,            0,            -0.053,       0,            -0.334,       -0.9136,      -1.3701,      0,            0,            0,            
0,            0,            0,            0.759,        0,            1.2425,       39.007,       57.48,        0,            0,            0,            

0.5,          
0,            0,            0,            -0.0526,      0,            -0.3562,      -0.4063,      -1.3945,      0,            0,            0,            
0,            0,            0,            0.7716,       0,            1.2629,       39.656,       57.718,       0,            0,            0,            

0.6,          
0,            0,            0,            -0.0502,      0,            -0.3864,      -0.4193,      -1.3937,      0,            0,            0,            
0,            0,            0,            0.7828,       0,            1.288,        39.703,       57.97,        0,            0,            0,            

0.7,          
0,            0,            0,            -0.0481,      0,            -0.4448,      -0.4457,      -1.3929,      0,            0,            0,            
0,            0,            0,            0.7924,       0,            1.3271,       39.743,       58.276,       0,            0,            0,            

0.8,          
0,            0,            0,            -0.0458,      0,            -0.4632,      -0.4625,      -1.3921,      0,            0,            0,            
0,            0,            0,            0.8,          0,            1.3608,       39.786,       58.465,       0,            0,            0,            

0.9,          
0,            0,            0,            -0.0437,      0,            -0.4753,      -0.4467,      -1.3913,      0,            0,            0,            
0,            0,            0,            0.8063,       0,            1.3884,       39.84,        58.528,       0,            0,            0,            

1,            
0,            0,            0,            -0.0425,      0,            -0.4988,      -0.449,       -1.3905,      0,            0,            0,            
0,            0,            0,            0.8123,       0,            1.4201,       39.886,       58.593,       0,            0,            0,            

1.1,          
0,            0,            0,            -0.0402,      0,            -0.5012,      -0.4446,      -1.3897,      0,            0,            0,            
0,            0,            0,            0.8179,       0,            1.4523,       39.934,       58.661,       0,            0,            0,            

1.2,          
0,            0,            0,            -0.0394,      0,            -0.5006,      -0.4088,      -1.3889,      0,            0,            0,            
0,            0,            0,            0.8226,       0,            1.4896,       39.992,       58.803,       0,            0,            0,            

1.3,          
0,            0,            0,            -0.0385,      0,            -0.5234,      -0.3936,      -1.3881,      0,            0,            0,            
0,            0,            0,            0.8257,       0,            1.5285,       40.043,       58.876,       0,            0,            0,            

1.4,          
0,            0,            0,            -0.0385,      0,            -0.5269,      -0.3733,      -1.3861,      0,            0,            0,            
0,            0,            0,            0.829,        0,            1.551,        40.095,       58.952,       0,            0,            0,            

1.5,          
0,            0,            0,            -0.0372,      0,            -0.52,        -0.3221,      -1.3846,      0,            0,            0,            
0,            0,            0,            0.8315,       0,            1.5709,       40.156,       59.029,       0,            0,            0,            

1.6,          
0,            0,            0,            -0.0366,      0,            -0.5341,      -0.2933,      -1.3769,      0,            0,            0,            
0,            0,            0,            0.8314,       0,            1.6096,       40.21,        59.107,       0,            0,            0,            

1.7,          
0,            0,            0,            -0.0361,      0,            -0.5318,      -0.2537,      -1.3632,      0,            0,            0,            
0,            0,            0,            0.8373,       0,            1.6334,       40.253,       59.187,       0,            0,            0,            

1.8,          
0,            0,            0,            -0.0354,      0,            -0.5221,      -0.2397,      -1.344,       0,            0,            0,            
0,            0,            0,            0.8392,       0,            1.6657,       40.286,       59.268,       0,            0,            0,            

1.9,          
0,            0,            0,            -0.0352,      0,            -0.5159,      -0.2448,      -1.3196,      0,            0,            0,            
0,            0,            0,            0.8418,       0,            1.6905,       40.299,       59.35,        0,            0,            0,            

2,            
0,            0,            0,            -0.0345,      0,            -0.5174,      -0.2448,      -1.29,        0,            0,            0,            
0,            0,            0,            0.8435,       0,            1.7204,       40.299,       59.434,       0,            0,            0,            

2.5,          
0,            0,            0,            -0.0291,      0,            -0.4514,      -0.2513,      -1.0196,      0,            0,            0,            
0,            0,            0,            0.8555,       0,            1.873,        40.353,       59.957,       0,            0,            0,            

5,            
0,            0,            0,            -0.0117,      0,            -0.2313,      -0.1251,      -0.00000000000002,          0,            0,            0,            
0,            0,            0,            0.0049,       0,            2.3289,       40.605,       61.194,       0,            0,            0
];
