! Data imported from: Y:\ontwapps\Timer\Users\Efstratios\models\TIMER_3_11_BuildStock\data\data\endem\residential\UValue_factor.dat
real main.UValue_factor(t) = [
1971,         1.26065630205201,           
1972,         1.25127176382334,           
1973,         1.24195708568073,           
1974,         1.23271174757393,           
1975,         1.223535233324,             
1976,         1.21442703059454,           
1977,         1.20538663086307,           
1978,         1.19641352939262,           
1979,         1.1875072252036,            
1980,         1.17866722104575,           
1981,         1.16989302337047,           
1982,         1.1611841423032,            
1983,         1.15254009161608,           
1984,         1.14396038870082,           
1985,         1.13544455454176,           
1986,         1.12699211368909,           
1987,         1.11860259423235,           
1988,         1.11027552777404,           
1989,         1.10201044940352,           
1990,         1.09380689767098,           
1991,         1.08566441456177,           
1992,         1.07758254547074,           
1993,         1.06956083917691,           
1994,         1.06159884781828,           
1995,         1.05369612686678,           
1996,         1.0458522351035,            
1997,         1.03806673459404,           
1998,         1.03033919066406,           
1999,         1.022669171875,             
2000,         1.01505625,   
2001,         1.0075,       
2002,         1,            
2003,         0.9925,       
2004,         0.98505625,   
2005,         0.977668328125,             
2006,         0.970335815664063,          
2007,         0.963058297046582,          
2008,         0.955835359818733,          
2009,         0.948666594620093,          
2010,         0.941551595160442,          
2011,         0.934489958196739,          
2012,         0.927481283510263,          
2013,         0.920525173883936,          
2014,         0.913621235079807,          
2015,         0.906769075816708
];
